词语 情感分类 强度
敏于事，慎于言 ph 5
分毫析厘 ph 3
胡说八道 nn 7
信口开河 nn 3
弄嘴弄舌 nn 5
空头支票 nn 5
言不顾行 nn 3
喋喋不休 nn 3
妄下雌黄 nn 7
不得善终 nd 5
郑人买履 nn 3
眉头一皱,计上心头 ph 5
临机应变 ph 3
守经达权 ph 1
铭感不忘 ph 5
中心藏之 pf 3
历历在目 pf 3
心知其意 pg 3
如梦方醒 pa 3
反求诸己 ph 3
责躬罪己 nh 3
旁敲侧击 nn 3
东烘先生 nn 3
醉酒妇人 nn 3
傍人门户 nn 3
莫予毒也 nn 5
挟长挟贵 nn 5
八砖学士 nn 5
欺天罔人 nn 7
甜言蜜语 nn 5
摧眉折腰 nn 3
灭顶之灾 nc 9
无妄之灾 ne 5
堆金积玉 ph 5
风清月白 ph 5
并日而食 nb 3
鳞次栉比 ph 5
环堵萧然 nb 3
履穿踵决 nb 3
攀高接贵 nd 5
三旬九食 nb 3
一人得道，鸡犬升天 nn 5
晚食当肉 ph 5
流言惑众 nn 5
造谣生事 nd 5
搬弄是非 nd 5
言三语四 nd 5
苦心经营 ne 3
公平交易 ph 3
残虐不仁 nn 9
独夫民贼 nn 5
杀人如草 nn 7
图财害命 nd 9
狰狞面目 nd 7
如牛负重 ne 3
两得其便 pa 3
日削月朘 nd 7
疾风知劲草 ph 7
任人宰割 nn 5
严阵以待 ph 5
兵精粮足 ph 5
兵临城下 ni 5
互相残杀 nn 7
首鼠模棱 nn 3
低眉顺眼 nn 3
俯首听命 nn 5
仰人鼻息 nn 5
尤而效之 nn 3
守钱虏 nn 5
桃代李僵 nn 1
捧头鼠窜 nd 7
装疯卖傻 nn 5
佛口蛇心 nd 7
越扶越醉 nn 5
暴虎冯河 nn 5
暮夜无知 nn 5
星飞电急 ni 7
刻不容缓 ni 5
莫可名状 pb 9
不夷不惠 ph 3
倒果为因 nn 7
舍本事末 nn 5
方枘圆凿 nn 3
牛蹄之涔 ne 7
邂逅相遇 pa 3
当场出彩 na 7
泄露天机 nn 5
转祸为福 pe 7
此一时，彼一时 nn 3
危机存亡之秋 nc 7
针锋相对 na 7
兄弟阋墙 nn 7
牵强附会 nn 5
空穴来风 nn 5
欺良压善 nn 5
肆言谩骂 nn 7
悍然不顾 nn 7
含垢藏疾 nn 7
败军之将 nn 5
河东狮吼 nn 3
咏月嘲风 nn 3
呼朋引类 pa 5
拖人下水 nn 5
群龙无首 ne 5
惹火烧身 ne 5
引水入墙 nn 5
大呼小叫 nn 3
推三阻四 nn 5
应权通变 ph 3
包打天下 nn 5
殚精竭虑 ph 7
不了了之 nn 3
目无王法 nn 7
金龟换酒 ph 5
春暖花开 pb 5
柳暗花明 pa 5
林寒涧肃 nb 5
雪虐风饕 nc 9
惨绿愁红 nb 5
火树银花 pb 5
黯然失色 ng 5
虎头虎脑 pb 5
窥间伺隙 nn 7
惊弓之鸟 nc 7
打草惊蛇 nn 5
拿糖作醋 nd 5
深图密虑 ph 5
孤掌难鸣 nb 5
文才武略 ph 5
钻天入地 ph 9
才气过人 ph 9
公才公望 ph 7
绝世无双 ph 9
弸中彪外 ph 7
人中骐骥 ph 7
王佐之才 ph 9
崭露头角 ph 5
大方之家 ph 5
观于海者难为水 ph 5
满腹诗书 ph 7
井底之蛙 nn 5
远见卓识 ph 7
岁寒知松柏 pg 7
平步青云 pa 5
感恩戴德 ph 9
面壁功深 ph 7
英雄所见略同 ph 7
心余力绌 ne 5
土鸡瓦犬 nn 5
一纸空文 nn 5
怪模怪样 nn 3
一得之功 pa 1
对酒当歌 pa 5
生死不二 ph 5
小家碧玉 ph 3
河汾门下 pd 3
龙眉皓发 pd 3
乐道安贫 ph 5
吹灰之力 pe 9
以碫投卵 pe 9
倾心吐胆 ph 3
夫唱妇随 ph 3
方兴未艾 ph 7
与日俱增 ph 5
功垂竹帛 ph 9
倍道兼行 ph 7
攻苦食淡 ph 7
韦编三绝 ph 9
自强不息 ph 7
耳闻不如目见 ph 1
割股之心 ph 5
相辅相成 ph 3
鼋鸣鳖应 ph 3
独步一时 ph 5
国士无双 ph 7
教一识百 ph 3
手不停挥 ph 5
五行并下 ph 3
工欲善其事，必先利其器 ph 3
面面俱到 ph 5
名士风流 ph 5
一表非俗 ph 3
靡颜腻理 ph 5
星眸皓齿 ph 5
丰姿冶丽 ph 7
白发红颜 ph 3
知恩报恩 ph 5
欧鹭忘机 ph 3
推诚相见 ph 5
直到事人 ph 5
情见乎辞 ph 3
经始大业 ph 9
待时守分 ph 3
改天换地 ph 5
与民更始 ph 3
得饶人处且饶人 ph 3
略迹原情 ph 3
雅量豁然 ph 5
力争经营 ph 1
箭不虚发 ph 5
围魏救赵 ph 1
百战百胜 ph 7
挥戈反日 ph 7
生力军 ph 3
骁勇善战 ph 5
左萦右拂 ph 3
目不窥园 ph 3
鹰瞵鹗视 nc 3
载酒问字 ph 3
教导有方 ph 5
改过迁善 ph 5
洗心换骨 ph 5
不衫不履 nn 3
阿谀顺旨 nd 5
妨功害能 nd 5
大腹便便 nn 1
老态龙钟 nn 3
流年不利 nj 3
功败垂成 nj 9
无济于事 nj 5
落荒而逃 nn 7
损兵折将 nj 3
莫此为甚 nn 9
绣花枕头 nn 5
不舞之鹤 nn 5
朽木不雕 nn 5
害人不浅 nn 7
无可救药 nn 7
鼠窃狗盗 nn 5
天诛地灭 nd 9
戴盆望天 nn 3
弄巧成拙 nn 5
以狸饵鼠 nj 5
袭人故技 nn 5
反裘负刍 nn 5
鸡胸龟背 nn 3
谄上抑下 nn 5
罪莫大焉 nn 9
身败名裂 nn 9
困而学之 ph 1
一簧两舌 nn 5
悬断是非 nn 3
玩物丧志 nn 7
赔了夫人又折兵 nn 7
自食其果 nn 7
迁延过时 nn 1
不露圭角 ph 3
家业凋零 nb 3
缄口藏舌 nn 3
羞与为伍 nd 5
泥牛入海 nj 5
凡夫俗子 nn 3
不安于室 nn 5
无翼而飞 pc 5
傅粉何郎 ph 5
因小失大 nn 5
囫囵吞枣 nn 5
雕章琢句 ph 3
乞浆得酒 pa 3
情窦初开 pb 1
道义之交 pb 1
深情厚谊 pb 1
一见如故 pb 3
不期然而然 pc 3
猝不及防 pc 5
交浅言深 ph 3
不同流俗 ph 5
归马放牛 pe 3
寂天寞地 nn 3
患难之交 pb 3
一丝不挂 nn 1
须眉交白 pd 1
首肯心折 ph 9
玉昆金友 ph 9
不忘故剑 pb 3
耳闻目睹 pg 3
切磋琢磨 ph 1
研核是非 ph 1
道听途说 nn 3
自顾不暇 ne 3
荆钗布裙 ph 1
白黑分明 ph 5
运用之妙，存乎一心 ph 3
班师回朝 ph 5
含英咀华 ph 3
五车书 ph 5
承上启下 ph 3
鸿篇巨制 ph 5
正心诚意 ph 5
小廉曲谨 ph 5
单枪匹马 ph 7
履险如夷 ph 9
勇者不惧 ph 7
宁为玉碎，不为瓦全 ph 3
安危与共 ph 5
大杖则走 ph 5
程门立雪 ph 5
敬天爱民 pd 7
以礼相待 pd 7
集思广益 ph 5
朝闻夕改 ph 5
卑以自牧 ph 3
大巧若拙 ph 7
管窥之见 nn 5
一得之愚 nn 1
傲贤慢士 nn 5
骄兵必败 nn 5
舍我其谁 ph 5
敲门砖 nn 3
争权夺利 nn 5
狼心狗行 nn 7
贪如虎狼 nn 7
买空卖空 nn 5
哇塞 pb 7
TNND na 5
滚出去 na 9
ding ph 7
HJ nd 7
JR nn 7
LJ nn 5
TMD ne 9
巨强 ph 7
爽歪歪 pa 7
qiang ph 3
hiahia pa 3
_so pe 3
赞一个 ph 5
哇靠 na 5
三天打鱼，两天晒网 nn 5
后果 nn 1
谎言 nn 3
苛刻 nn 5
呆板 nn 3
堕落 nn 1
刻薄 nn 7
旷课 nn 3
拉后腿 nn 5
颇有微词 nn 5
利令智昏 nn 5
落井下石 nn 7
每况愈下 nn 1
明枪暗箭 nn 1
萎靡 nn 3
大惊小怪 nn 1
倒胃口 nd 5
专横 nn 5
狡狯 nn 3
死板 nn 3
粗俗 nn 7
巧舌如簧 nn 3
蜻蜓点水 nn 3
轻视 nn 5
散漫 nn 5
碎嘴子 nn 5
情妇 nn 3
怂恿 nn 3
目瞪口呆 pc 9
挑毛拣刺 nn 3
熟视无睹 nn 5
忘恩负义 nn 7
无法无天 nn 9
无所用心 nn 5
怪罪 nn 9
想入非非 nn 3
庸碌 nn 3
杂乱无章 nn 3
无视 nn 3
穷凶极恶 nd 9
险诈 nn 7
卑污 nn 7
狗彘不若 nn 9
刁顽 nn 7
诡计多端 nn 9
德薄 nn 7
狗熊 nn 7
不逊 nn 5
孤芳自赏 nn 7
骄气 nn 5
执拗 nn 3
至死不悟 nn 5
乖张 nn 5
装佯 nn 3
滑头滑脑 nn 5
一头儿沉 nn 3
小家子气 nn 5
胶柱鼓瑟 nn 3
横蛮 nn 5
卖嘴 nn 3
摆架子 nn 5
率尔 nn 5
愚陋 nn 7
不知死活 nn 5
轻佻 nn 7
佻巧 nn 3
可鄙 nn 7
不孝 nn 7
守旧 nn 3
杂沓 nn 3
苟且 nn 7
心猿意马 nn 3
朝秦暮楚 nn 5
矫饰 nn 3
离格 nn 5
胁肩谄笑 nn 7
哄骗 nn 5
欺上瞒下 nn 5
弄鬼 nn 3
乱来 nn 5
暴力行为 nn 5
诱拐 nn 5
倦怠 nn 3
流水无情 nj 3
讽刺 nn 1
爱管闲事 nn 3
弛缓 nn 3
低级 nn 7
白日做梦－胡思乱想 nn 5
笼统 nn 1
偏僻 nn 1
事不关己 nn 1
木石心肠 nn 7
粪土不如 nn 7
模模糊糊 nn 1
蜗行牛步 nn 3
小崽子 nd 3
一言堂 nn 5
不可理喻 nn 5
固步自封 nn 5
方巾气 nn 3
偏失 nn 3
讪笑 nn 5
不合时宜 nn 3
利己 nn 7
欲壑难填 nn 7
淫心 nn 7
凡俗 nn 7
无耻之徒 nn 7
看财奴 nn 5
淫乱 nn 7
淫糜 nn 7
漫骂 nn 5
喜新厌旧 nn 5
以怨报德 nn 7
耍花腔 nn 1
狐媚 nn 5
点头哈腰 nn 5
漏洞百出 nn 5
浮浅 nn 5
一钱不值 nn 7
以偏概全 nn 3
无理 nn 1
狗屁不通 nn 5
劣迹昭著 nn 9
质次价高 nn 7
名过其实 nn 1
假劣 nn 3
心口不一 nn 3
不好 nn 3
昂贵 nn 3
阿Q nn 3
暗事 nn 3
霸持 nn 3
白字 nn 1
败子 nn 5
爆烈 nn 3
逼供 nn 3
贬低 nn 5
不堪 nn 9
飘飘然 pa 3
失惊打怪 ni 7
切切在心 pf 7
伫结之情 pf 5
音容宛在 pf 3
自信 ph 5
胆怯 nc 1
赖皮 nn 5
迟疑 nl 3
调皮 nn 1
津津有味 pa 3
大跌眼镜 pc 7
惊愕 pc 7
神奇 pc 5
定心丸 pe 7
沉着 pe 3
知足 pe 5
精辟 ph 7
裨益 ph 3
彪炳 ph 7
彬彬 ph 5
秉直 ph 5
博览 ph 5
才调 ph 5
才思 ph 5
彩旗 pd 3
苍茫 ph 3
长策 ph 3
侧足 nn 3
差失 nn 3
掺和 nd 3
缠磨 nd 3
吵嚷 nn 3
扯腿 nn 3
陈套 nn 3
畅茂 ph 3
畅游 pa 5
超前 ph 3
沉雄 ph 5
称叹 ph 7
吃瘪 nd 3
迟到 nn 3
仇敌 nd 5
充数 nn 3
丑角 nn 3
仇隙 nd 5
呈正 ph 7
澄明 pb 3
冲杀 nc 3
出尘 ph 7
传诵 ph 3
出逃 nn 3
创造 ph 3
春光 pb 3
纯贞 ph 5
疮痍 nb 7
蠢材 nn 7
次货 nn 3
促狭 nn 3
篡国 nn 5
错讹 nn 3
打手 nn 3
党阀 nd 7
倒灶 ne 5
盗窃 nd 5
瑰奇 ph 5
国粹 pb 5
国手 ph 5
憨态 ph 3
酣饮 pa 3
敌人 nd 5
地狱 nc 5
喋血 nd 7
毒草 nn 5
毒素 nn 5
堵心 ne 5
短气 ne 1
躲懒 nn 3
扼杀 nn 5
恶声 nd 5
儿戏 nn 7
发热 nn 3
樊笼 nd 3
犯法 nn 5
犯罪 nn 5
妨害 nn 3
匪帮 nd 5
匪盗 nd 7
废人 nn 5
粪土 nn 5
浮荡 nn 7
负面 nn 3
干扰 nn 3
割裂 nn 3
苟活 nd 3
股匪 nd 3
官场 nd 3
惯窃 nn 5
鬼话 nn 3
慈蔼 ph 5
辞行 nb 3
葱绿 pb 3
粹集 ph 1
存候 pb 1
答礼 pd 3
大胆 nn 3
大人物 ph 3
大幸 pa 5
黛蓝 pb 3
胆识 ph 5
鬼胎 nn 5
得济 pa 3
得行 ph 5
的真 ph 3
地望 ph 3
惦挂 pf 7
鼎盛 ph 5
过度 nn 3
含冤 nb 5
黑店 nd 3
黑窝 nd 3
哄弄 nn 3
胡言 nn 5
坏话 nn 1
惶悚 nc 7
毁伤 nn 3
秽闻 nd 5
混混儿 nn 5
祸首 nn 5
挤对 nn 3
假冒 nn 5
奸徒 nd 5
僵化 nn 3
狡赖 nn 5
斤斤 nn 3
纠集 nn 5
阔绰 nn 1
癞子 nd 3
苛政 nn 5
空耗 nn 1
东风 ph 3
洞见 ph 3
洞悉 ph 3
亏待 nn 3
溃乱 nn 1
督师 ph 1
笃守 ph 5
端丽 ph 3
墩朴 pb 3
夺冠 pa 5
恩爱 pb 3
恩义 pd 3
发轫 ph 3
繁花 pb 3
芳醇 ph 3
芳馨 ph 3
飞奔 pa 3
肥美 ph 5
奋进 ph 5
丰年 pa 3
丰沃 ph 3
风华 ph 5
奉行 pg 5
辅佐 ph 3
富岁 ph 3
改革 ph 3
甘芳 pb 3
甘旨 pb 5
刚气 ph 5
高唱 pa 3
高峻 pb 3
稂莠 nn 5
勒逼 nn 5
冷箭 nn 5
利诱 nn 5
凌乱 ne 7
流寇 nd 5
高士 pd 9
漏网 nd 3
乱臣 nn 3
掠取 nn 1
落难 nb 5
骂名 nn 5
盲干 nn 3
没趣 nn 1
媚态 nn 3
靡费 nn 3
名利 nn 1
魔掌 nd 5
告竣 pa 3
根绝 ph 1
工力 ph 7
攻破 ph 1
功劳 ph 3
公评 pg 5
拱服 pd 5
鼓动 nn 1
末流 nn 3
关爱 pb 5
谋杀 nn 5
管用 ph 3
光华 ph 7
光泽 ph 3
恼人 ne 3
闺秀 ph 7
泥古 nn 3
蔫儿坏 nn 3
扭曲 nn 7
虐杀 nn 7
排外 nn 1
叛卖 nn 7
悍勇 ph 1
豪侠 ph 9
赔帐 ne 5
披靡 nn 3
僻陋 nn 3
骗子 nn 5
泼皮 nn 5
破约 nn 3
乞降 nn 5
愆尤 nn 3
谴谪 nn 5
强权 nn 5
诮呵 nn 3
河岳 ph 7
合理化 ph 1
和祥 pe 7
贺幛 ph 3
红榜 ph 3
红旗 ph 1
洪流 ph 1
宏朗 ph 3
厚礼 ph 3
虎威 ph 5
花朵 pb 3
欢唱 pa 9
欢送 pa 3
挥斥 pa 5
徽号 ph 5
惠及 ph 5
活动家 ph 1
豁然 pa 7
激越 ph 9
机断 ph 5
吉利 pa 7
吉兆 pa 7
侵凌 nn 7
轻信 nn 3
囚徒 nn 3
蛆虫 nd 7
权门 nn 5
染缸 nn 3
忍心 nn 3
揉磨 nn 3
丧钟 nb 3
涩滞 nn 3
伤疤 nb 5
烧包 nn 5
神伤 ne 5
失宠 nb 5
失神 ne 5
失足 nn 3
势焰 nn 7
受害 nb 7
受屈 ne 5
耍弄 nn 7
私弊 nn 5
死党 pb 5
肆行 nn 5
损毁 nn 5
嗒丧 nn 5
傥荡 nn 5
套话 nn 5
挑弄 nn 7
铜臭 nd 5
头子 nd 5
土匪 nd 5
退坡 nd 5
歪道 nn 7
顽敌 nd 5
妄念 nn 5
危机 nn 5
违犯 nn 5
窝点 nd 7
芜鄙 nn 5
西化 nn 3
细弱 nn 3
瑕疵 nn 5
罅漏 nn 5
险兆 nc 5
嚣杂 nn 3
效颦 nn 5
邪路 nn 7
胁从 nn 5
腥膻 nn 3
凶器 nd 5
凶宅 nc 5
虚报 nn 5
虚设 nn 5
蓄谋 nn 7
炫惑 nn 5
逊色 nn 3
严重 nn 3
仰攀 nn 5
妖物 nd 5
一帮 nn 3
遗祸 nn 5
臆造 nn 5
阴晦 nn 5
淫风 nn 5
淫逸 nn 5
营私 nn 5
忧患 ne 5
诱发 nn 5
迂阔 nn 5
愚痴 nn 5
郁怒 na 5
冤结 nd 5
冤头 nd 5
元恶 nd 5
怨苦 ne 5
亲谊 pb 1
勤敏 ph 5
清芬 pb 3
杂凑 nn 3
灾病 ne 5
清淡 pb 1
油腻 nd 3
凄怆 nb 9
草鸡 nn 7
作难 ne 9
冗杂 nn 5
豪爽 ph 7
使性子 nn 3
永恒 ph 5
老古董 nn 5
纪念 pf 5
娇滴滴 pb 7
坚决 ph 3
名不虚传 ph 5
自是 nn 5
宠辱不惊 ph 9
诬陷 nn 9
明目张胆 nn 5
见识 ph 5
朝不保夕 nb 5
暗箭 nn 9
不念旧恶 ph 5
大势已去 nb 5
挂羊头卖狗肉 nn 7
金针 ph 5
败落 nb 7
到家 ph 7
桑榆暮景 nb 3
风和日丽 pa 7
和平 pb 1
血性 ph 7
弛懈 nn 3
纯净 ph 3
除旧布新 ph 3
三朝元老 pd 5
侵犯 nn 5
算计 nn 7
单薄 nn 1
斤斤计较 nn 7
假意 nn 5
花团锦簇 ph 5
尖刻 nn 5
神妙 ph 7
起死回生 ph 9
莫逆之交 pb 3
敷衍 nn 5
表率 ph 5
吐气扬眉 pa 5
触犯 nn 3
险要 nc 1
浪子 nn 3
威严 ph 5
随便 nn 5
友好 pb 3
丢丑 ng 9
污浊 nn 3
如臂使指 ph 5
点火 nn 5
姹紫嫣红 ph 3
宠儿 nk 3
万马奔腾 ph 9
严谨 ph 5
缓和 pe 1
痴子 nn 7
蹉跎 nb 7
尊敬 pd 3
扰乱 nn 3
锲而不舍 ph 5
盛大 ph 5
轻易 nn 1
窄小 nn 1
生涩 nn 3
狐狸精 nn 7
纯真 ph 5
精深 ph 7
涵养 ph 3
奋起 ph 3
肆无忌惮 nn 9
衰弱 nn 3
率由旧章 nn 3
潺潺 pb 1
褒奖 ph 7
拘板 nn 3
啼饥号寒 nb 9
甜丝丝 pa 7
缓解 pe 3
不管三七二十一 nn 3
回报 ph 1
纷繁 ne 1
闪失 nn 3
退却 nn 5
穷途末路 nb 5
完美 ph 9
风和日暖 ph 3
谬误 nn 3
舍己为人 ph 5
钟情 pb 9
讨价还价 nn 1
奴颜婢膝 nn 9
挑唆 nn 5
粗疏 nn 3
扎实 ph 5
醇朴 ph 7
廉政勤政 ph 5
琐碎 ne 3
革命 ph 3
严厉 nn 5
不对 nn 3
陈陈相因 nn 7
功力 ph 3
十拿九稳 pg 9
轻柔 ph 5
锐利 ph 5
突如其来 pc 5
雅正 ph 5
践踏 nn 9
侵扰 nn 3
施舍 ph 1
周全 ph 5
莽苍 ph 1
模糊 nn 1
抱歉 nh 5
恬不知耻 nn 9
光怪陆离 pc 1
坚固 ph 3
并进 ph 1
栽跟头 ne 7
东鳞西爪 nn 3
凌虐 nn 7
多姿多彩 ph 5
艰难 ne 3
横财 nn 3
当道 nn 9
妖冶 nn 5
无拘无束 pa 9
平衡 ph 1
巍峨 ph 5
希望 pk 5
朝三暮四 nn 5
忧伤 nb 7
跃然纸上 ph 7
洞察 ph 3
理所当然 pg 5
气息奄奄 nb 3
磨杵成针 ph 5
宏大 ph 7
纯朴 ph 5
疾言厉色 na 5
坍台 nn 7
纯正 ph 5
任性 nn 3
危殆 ni 5
强弩之末 nn 5
流毒 nn 9
抖搂 nn 5
奸邪 nn 9
可敬 ph 5
畅快 pa 7
沁人心脾 pa 5
过不去 nh 7
抢占 nn 1
充沛 ph 5
豪放 ph 5
厌烦 nd 7
落伍 nn 5
利害 ph 5
大智若愚 ph 5
奸佞 nn 9
悔过 ng 7
痴心妄想 nn 9
稳步 ph 3
一目了然 ph 3
匆忙 ni 3
潇洒 ph 5
赤子 ph 3
富足 pa 5
轻装 pa 1
内乱 nn 7
扶持 ph 1
如丧考妣 nb 9
光前裕后 ph 9
造谣 nn 5
与世无争 ph 3
衰退 nb 1
笑话 nn 1
窟窿 nn 1
大爷 pd 1
鄙吝 nn 7
正经 ph 7
还礼 pd 3
清爽 pa 7
讨厌 nd 7
对头 nd 7
光耀 ph 5
公道 ph 5
烈士 pd 5
功绩 pd 3
难受 ne 5
疏忽 nh 3
区区 nn 1
紧张 ne 5
低头 ne 5
客气 pd 3
险恶 nc 5
对立 nd 3
气焰 nn 5
凶险 nn 5
数米而炊 nb 3
七上八下 nc 5
追求 ph 5
干燥 ne 3
对付 nn 3
十足 ph 1
好人 nn 1
好事 nn 5
灾殃 ne 5
脏话 nn 5
糟朽 nn 5
遭罪 ne 5
造孽 nn 5
贼窝 nn 5
清俊 ph 5
招风 nn 3
饯别 pd 3
支使 nn 5
指责 nn 5
见世面 ph 1
教坛 pd 1
清切 ph 3
清逸 ph 5
锦缎 ph 1
情韵 pb 3
请教 pd 3
遒媚 ph 5
饶裕 ph 7
仁惠 ph 5
荣获 pa 5
柔美 ph 5
瑞气 pa 5
森郁 ph 5
顺适 pe 3
生色 pb 3
盛举 ph 5
盛宴 ph 5
诗豪 ph 7
爽畅 pa 5
揭幕 pd 1
素朴 ph 3
重浊 nn 3
进献 pd 3
转蓬 nj 3
敬酒 pd 1
滋蔓 nn 5
自居 nn 5
走过场 nn 5
阻绝 nn 3
嘴笨 nn 3
病恹恹 nn 1
淡然 pe 3
坐守 nn 5
孤傲不群 nn 3
黑漆漆 nc 3
不屑于 nd 5
发呆 ne 3
威名 ph 5
闻人 ph 3
蓊郁 ph 5
无前 ph 3
喜报 pa 5
先导 pd 5
鲜润 ph 5
显明 ph 5
骁悍 ph 5
介怀 ne 3
新颜 ph 5
欣跃 pa 5
极顶 ph 5
凄惶 nb 3
势成骑虎 ni 5
雄浑 ph 3
雄视 ph 3
秀劲 ph 5
煦暖 ph 5
雪亮 ph 5
雅饬 ph 5
雅玩 ph 5
抑郁寡欢 nb 5
燕尔 pe 5
怡神 pa 5
义士 ph 5
英才 ph 5
英挺 ph 5
莹然 ph 3
顶礼膜拜 pd 5
优抚 pe 5
幽娴 ph 5
有趣 ph 5
有缘 ph 5
腴润 ph 5
渊深 ph 5
佳节 pa 9
哀婉 nb 1
嘉慰 pe 7
坚确 ph 5
简切 ph 3
拍案叫绝 ph 5
见爱 pd 7
人心大快 pa 5
健旺 ph 7
老虎屁股摸不得 nn 3
寥寂 nb 5
交映 ph 3
娇蓝 pb 3
娇婉 ph 5
米珠薪桂 nn 7
牛气 ph 5
节能 ph 3
清高 ph 5
津润 ph 1
金瓯 ph 5
竹篮子打水一场空 nj 5
在理 ph 3
崭齐 ph 1
莞尔 pa 5
哲人 ph 5
真知 ph 5
哗笑 pa 5
正轨 ph 5
知心 pg 5
值价 ph 3
至当 ph 5
致贺 pa 5
制胜 pa 5
忠骨 pd 5
珠玑 ph 5
迷恋 pb 9
庄静 ph 3
壮行 pd 5
卓识 ph 7
姿色 ph 5
相中 pb 3
晋升 pa 5
尊奉 pd 3
近情 ph 3
旌麾 ph 1
精核 ph 3
精密 ph 3
精熟 ph 5
精严 ph 3
晶光 ph 3
井然 ph 3
儆醒 ph 1
心仪已久 pk 7
诤友 pb 3
劲秀 ph 3
救急 pa 1
就义 ph 5
据理 pg 1
眷顾 pb 5
梼昧 nn 5
暗无天日 nd 7
白衣苍狗 ne 5
卑猥 nn 9
憋拗 nn 9
以德报怨 ph 9
有心眼儿 ph 3
令人敬畏 pd 3
为人宽厚 ph 9
文武双全 ph 9
小巧玲珑 ph 9
不成器 nn 5
正大光明 ph 9
不分青红皂白 nn 7
不得劲 ne 5
枝繁叶茂 ph 9
有血气 ph 9
不更事 nn 3
因时制宜 ph 9
学有专长 ph 9
行云流水 ph 9
知书识礼 ph 5
直心眼儿 ph 3
物阜民丰 ph 9
嗜血成性 nn 9
索然乏味 nn 9
死脑筋 nn 9
松垮 nn 9
随风转舵 nn 9
沉静 pe 3
危机重重 nc 9
无涵养 nn 9
无实效 nn 9
安全 pe 3
不伦不类 nn 7
不切实际 nn 7
不痛不痒 nn 5
不像话 nn 9
不足取 nn 5
残破不全 nb 1
味道不好 nn 9
死得其所 pe 5
玄秘 nl 5
岌岌可危 nc 7
茕茕孑立，形影相吊 nb 9
长篇累牍 nn 5
阴凄 nc 9
成事不足，败事有余 nn 9
臭烘烘 nn 9
望穿秋水 pf 9
村气 nn 5
循规蹈矩 nn 3
显著 ph 5
低卑 nn 7
滴里嘟噜 nn 3
动作迟顿 nn 3
济困扶危 ph 5
发人深省 pf 3
风吹日晒 nb 3
腐败堕落 nn 9
高不成，低不就 nn 3
象样 ph 5
寡淡 nn 3
乖谬 nn 7
含含混混 nn 5
豪侈 nn 5
火冒三丈 na 7
义形于色 na 3
胡子拉茬 nn 3
坏人当道 nn 7
荒无人烟 nj 5
灰茫茫 ne 1
智慧型 ph 5
质优 ph 3
忠良 ph 5
壮阔 ph 3
仔仔细细 ph 3
最佳 ph 3
哀怨 nd 5
逍遥自在 pa 5
瑕不掩瑜 ph 5
熠熠生辉 ph 3
哀思 nb 5
霁月光风 ph 5
哀矜 nb 3
抱恨终生 nh 9
憋得慌 ne 7
凄切 nb 3
吃后悔药 nh 3
兔死狐悲 nb 3
戳脊梁骨 nn 5
同病相怜 nb 5
惨重 nb 7
烦腻 ne 5
忿忿 na 3
寡欢 ne 3
喝叱 nn 5
惶惧 nc 5
急急巴巴 ne 7
惨不忍睹 nb 7
疚愧 nh 5
抗议 na 5
拉不下脸 ng 3
回肠九转 nb 9
打掉牙往肚子里吞－有苦显不出来 ne 7
闷沉沉 ne 3
面有愠色 na 1
怒喝 nn 5
抱屈衔冤 nb 7
气忿忿 na 5
惶恐不安 nc 5
杯弓蛇影 nc 5
危惧 nc 3
系念 ph 3
急不可待 ni 7
羞于 ng 3
讶然 pc 3
鄙弃 nd 5
愧对 nh 5
震悚 pc 7
心灰意懒 nj 5
嗔斥 nn 5
爱宠 pb 5
无计可施 ne 5
片瓦无存 nj 3
跪叩 pd 5
七手八脚 nn 3
敬奉 pd 5
看得上眼 pb 3
渴求 pf 5
美滋滋 pa 5
沿门托钵 nb 3
飘飘欲仙 pa 9
弹尽粮绝 nj 7
舟中敌国 nb 5
安如泰山 ph 5
颂赞 ph 5
改弦更张 ph 3
喜幸 pa 3
眼馋 nk 5
小家子相 nn 7
迁延时日 nn 3
赞慕 ph 5
见风使舵 nn 7
骄奢淫逸 nn 9
饱学 ph 5
鞭辟近里 ph 5
江河日下 nb 3
经验不足 ne 7
拘礼 nn 3
开小差 nn 7
割席断交 na 1
石沉大海 nj 5
公子哥儿 nn 3
扬玲打鼓 nn 3
楚楚可怜 pb 3
不整齐 nn 3
车水马龙 ph 3
耳报神 nn 5
狂悖 nn 9
出手不凡 ph 5
春秋鼎盛 ph 7
老赶 nn 5
久战沙场 ph 1
从权 nn 1
离索 nb 9
哩哩啦啦 nn 3
大而全 ph 1
心慕手追 ph 1
低调 ph 1
零七八碎 nn 5
春秋笔法 ph 1
鼎鼎大名 ph 3
流里流气 nn 7
乱了营 nn 7
端端正正 ph 1
落俗套 nn 5
漫不经意 nn 1
内幕 nn 1
没出息 nn 3
没礼貌 nn 3
没心没肺 nn 7
迷宫般 ne 1
名义上 nn 5
目光短浅 nn 7
难人 ne 7
一触即溃 nn 9
纸醉金迷 nn 9
摇摇欲坠 ni 9
一干二净 ph 9
拆烂污 nn 1
官倒 nd 5
优胜 ph 9
信息丰富 ph 9
难相处 nn 3
闹闹哄哄 nn 7
黑话 nn 1
脾气爆躁 nn 3
骗人 nd 9
笃信 pg 7
其貌不扬 nn 7
气盛 ne 5
强行 nn 5
甘服 pg 5
穷奢极侈 nn 9
